,movie,B2_freq,A2_freq,A1_freq,B1_freq,C1_freq,B2_rate,A2_rate,A1_rate,B1_rate,C1_rate,qty,ne,avg_length,level
38,Crazy4TV.com - Suits.S06E14.720p.BluRay.x265.HEVC.Crazy4ad,0.0907,0.1191,0.3348,0.0851,0.0356,0.1161,0.143,0.262,0.1132,0.048,3232.0,0.0087,1.9,B2
39,Crazy4TV.com - Suits.S06E15.720p.BluRay.x265.HEVC.Crazy4ad,0.0945,0.1247,0.3319,0.0802,0.0342,0.1166,0.1626,0.2342,0.0951,0.0409,3016.0,0.0076,1.9,B2
40,Crazy4TV.com - Suits.S06E16.720p.BluRay.x265.HEVC.Crazy4ad,0.0929,0.1146,0.3385,0.0871,0.0356,0.1229,0.1531,0.25,0.1062,0.0542,3090.0,0.0078,1.8,B2
41,"Crown, The S01E01 - Wolferton Splash.en.SDH",0.0891,0.1459,0.3181,0.074,0.0445,0.1016,0.1481,0.2292,0.0984,0.0389,1864.0,0.0123,3.0,
42,"Crown, The S01E01 - Wolferton Splash.en",0.0929,0.1494,0.3346,0.0772,0.0452,0.1049,0.1494,0.2407,0.1037,0.0358,1593.0,0.0119,3.1,
43,"Crown, The S01E02 - Hyde Park Corner.en.SDH",0.0837,0.1615,0.3316,0.0896,0.04,0.1116,0.1443,0.2385,0.1044,0.0461,1876.0,0.0165,3.2,
44,"Crown, The S01E02 - Hyde Park Corner.en",0.0889,0.1631,0.3341,0.0906,0.0408,0.1176,0.1456,0.2395,0.1036,0.0464,1766.0,0.0136,3.2,
45,"Crown, The S01E03 - Windsor.en.FORCED",0.1176,0.1176,0.2941,0.0588,0.0,0.125,0.0625,0.3125,0.0625,0.0,17.0,0.0,6.2,
46,"Crown, The S01E03 - Windsor.en.SDH",0.1005,0.1503,0.3297,0.0857,0.0507,0.1255,0.1462,0.2292,0.1074,0.0523,2229.0,0.0121,3.1,
47,"Crown, The S01E03 - Windsor.en",0.1051,0.1528,0.3357,0.0903,0.0497,0.1299,0.149,0.2321,0.1117,0.0525,2094.0,0.0115,3.1,
48,"Crown, The S01E04 - Act of God.en.SDH",0.1022,0.1537,0.3187,0.0839,0.0428,0.1227,0.1468,0.2322,0.0987,0.0539,2407.0,0.0116,3.2,
49,"Crown, The S01E04 - Act of God.en",0.1081,0.1571,0.3289,0.0868,0.0445,0.1265,0.1475,0.2373,0.1021,0.0541,2247.0,0.0102,3.2,
50,"Crown, The S01E05 - Smoke and Mirrors.en.FORCED",0.05,0.2,0.275,0.075,0.025,0.0541,0.1892,0.2973,0.0811,0.027,40.0,0.05,5.9,
51,"Crown, The S01E05 - Smoke and Mirrors.en.SDH",0.0991,0.1551,0.2839,0.0924,0.0507,0.118,0.1455,0.2138,0.1003,0.0621,2089.0,0.0115,3.4,
52,"Crown, The S01E05 - Smoke and Mirrors.en",0.1022,0.1559,0.2869,0.0926,0.0506,0.1212,0.1452,0.2155,0.0999,0.062,1976.0,0.0121,3.4,
53,"Crown, The S01E06 - Gelignite.en.SDH",0.0891,0.1728,0.3219,0.0959,0.0359,0.1163,0.158,0.2361,0.1026,0.0527,2367.0,0.0139,3.0,
54,"Crown, The S01E06 - Gelignite.en",0.0924,0.1738,0.3253,0.0989,0.0363,0.1194,0.1604,0.2397,0.1045,0.0522,2284.0,0.014,3.0,
55,"Crown, The S01E07 - Scientia Potentia Est.en.FORCED",0.0909,0.0909,0.5455,0.0909,0.0,0.1,0.05,0.55,0.1,0.0,22.0,0.0909,5.1,
